DDI_ID,Object_DrugBank_ID,Precipitant_DrugBank_ID,Object_DCQC,Precipitant_DCQC,Object_Name,Precipitant_Name,Drugbank_AE
P080226,DB01072,DB01211,47479,47018,Atazanavir,Clarithromycin,The serum concentration of Clarithromycin can be increased when it is combined with Atazanavir.
P080227,DB00608,DB01211,1833,47018,Chloroquine,Clarithromycin,The serum concentration of Clarithromycin can be increased when it is combined with Chloroquine.
P080228,DB00215,DB01211,47317,47018,Citalopram,Clarithromycin,The risk or severity of QTc prolongation can be increased when Clarithromycin is combined with Citalopram.
P080230,DB00501,DB01211,38366,47018,Cimetidine,Clarithromycin,Cimetidine may decrease the excretion rate of Clarithromycin which could result in a higher serum level.
P080231,DB00915,DB01211,18426,47018,Amantadine,Clarithromycin,The risk or severity of QTc prolongation can be increased when Amantadine is combined with Clarithromycin.
P080302,DB00207,DB01075,46236,3107,Azithromycin,Diphenhydramine,The risk or severity of QTc prolongation can be increased when Diphenhydramine is combined with Azithromycin.
P080306,DB00608,DB01075,1833,3107,Chloroquine,Diphenhydramine,The metabolism of Diphenhydramine can be decreased when combined with Chloroquine.
P080309,DB01211,DB01075,47018,3107,Clarithromycin,Diphenhydramine,The risk or severity of QTc prolongation can be increased when Diphenhydramine is combined with Clarithromycin.
P080313,DB00915,DB01075,18426,3107,Amantadine,Diphenhydramine,The serum concentration of Amantadine can be increased when it is combined with Diphenhydramine.
P080314,DB00215,DB01075,47317,3107,Citalopram,Diphenhydramine,The risk or severity of QTc prolongation can be increased when Diphenhydramine is combined with Citalopram.
P080315,DB00537,DB01075,45503,3107,Ciprofloxacin,Diphenhydramine,The risk or severity of QTc prolongation can be increased when Diphenhydramine is combined with Ciprofloxacin.
P080317,DB00477,DB01075,1924,3107,Chlorpromazine,Diphenhydramine,The therapeutic efficacy of Diphenhydramine can be decreased when used in combination with Chlorpromazine.
P080318,DB01072,DB01075,47479,3107,Atazanavir,Diphenhydramine,The risk or severity of QTc prolongation can be increased when Atazanavir is combined with Diphenhydramine.
P080319,DB01118,DB01075,45441,3107,Amiodarone,Diphenhydramine,The metabolism of Amiodarone can be decreased when combined with Diphenhydramine.
P080321,DB00261,DB01075,47262,3107,Anagrelide,Diphenhydramine,The risk or severity of QTc prolongation can be increased when Diphenhydramine is combined with Anagrelide.
P080323,DB00321,DB01075,429,3107,Amitriptyline,Diphenhydramine,The metabolism of Amitriptyline can be decreased when combined with Diphenhydramine.
P080324,DB00501,DB01075,38366,3107,Cimetidine,Diphenhydramine,The serum concentration of Cimetidine can be increased when it is combined with Diphenhydramine.
P080326,DB00915,DB00280,18426,37911,Amantadine,Disopyramide,The risk or severity of QTc prolongation can be increased when Amantadine is combined with Disopyramide.
P080327,DB00537,DB00280,45503,37911,Ciprofloxacin,Disopyramide,The metabolism of Disopyramide can be decreased when combined with Ciprofloxacin.
P080329,DB01072,DB00280,47479,37911,Atazanavir,Disopyramide,The risk or severity of QTc prolongation can be increased when Atazanavir is combined with Disopyramide.
P080331,DB00261,DB00280,47262,37911,Anagrelide,Disopyramide,The risk or severity of QTc prolongation can be increased when Anagrelide is combined with Disopyramide.
P080332,DB00215,DB00280,47317,37911,Citalopram,Disopyramide,The risk or severity of QTc prolongation can be increased when Citalopram is combined with Disopyramide.
P080333,DB01211,DB00280,47018,37911,Clarithromycin,Disopyramide,Clarithromycin may increase the QTc-prolonging activities of Disopyramide.
P080334,DB00501,DB00280,38366,37911,Cimetidine,Disopyramide,The serum concentration of Cimetidine can be increased when it is combined with Disopyramide.
P080335,DB00477,DB00280,1924,37911,Chlorpromazine,Disopyramide,The risk or severity of QTc prolongation can be increased when Chlorpromazine is combined with Disopyramide.
P080336,DB00608,DB00280,1833,37911,Chloroquine,Disopyramide,The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Disopyramide.
P080339,DB00207,DB00280,46236,37911,Azithromycin,Disopyramide,The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Disopyramide.
